Profit and Loss,,,,,,,,,,,,,
QIALLY LLC,,,,,,,,,,,,,
"May, 2025-April, 2026",,,,,,,,,,,,,
,,,,,,,,,,,,,
Distribution account,May 2025,June 2025,July 2025,August 2025,September 2025,October 2025,November 2025,December 2025,January 2026,February 2026,March 2026,April 2026,Total
Total for 99500 PersExp,892.71,-43.51,"2,800.12",832.86,185.13,279.87,72.37,,,,,,"$5,019.55"
9999.1 Uncategorized Expense,17.36,,,,,,,,,,,,17.36
B540 SchCOtherExpenses,291.39,,10.80,,100.00,,,,,,,,402.19
B543 SchCOtherExpensesDuesMemberships,9.99,23.98,45.96,39.97,9.99,9.99,,9.99,,,,,149.87
B546 SchCOtherExpensesSoftware,114.61,32.88,244.93,308.34,46.80,46.80,36.80,58.80,,,,,889.96
B547 SchCOtherExpensesSubscriptions,21.98,11.99,21.98,26.98,21.98,21.98,20.00,41.98,21.98,,,,210.85
Total for B540 SchCOtherExpenses,437.97,68.85,323.67,375.29,178.77,78.77,56.80,110.77,21.98,,,,"$1,652.87"
B588.1 QuickBooks Payments Fees,,,,,,28.20,,,,,,,28.20
B588 Unapplied Cash Bill Payment Expense,,,,,,,-100.00,,,,,,-100.00
B589.1 HoneyBook transaction fees,,,,,,2.77,,,,,,,2.77
Total for Expenses,"4,453.60","2,825.62","7,193.15","4,668.05","1,854.96","2,571.60","1,129.00",702.41,21.98,,,,"$25,420.37"
Net Operating Income,213.86,-97.34,"-4,219.83","-1,037.90",114.79,-675.46,"1,014.59",-231.89,-21.98,,,,"-$4,941.16"
Other Income,,,,,,,,,,,,,
4199.1 Tips Income,,12.00,,,60.00,7.90,10.00,,,,,,89.90
B488.1 Late Fee Income,122.00,194.00,158.00,51.00,,,11.00,4.00,,,,,540.00
Total for Other Income,122.00,206.00,158.00,51.00,60.00,7.90,21.00,4.00,,,,,$629.90
Net Other Income,122.00,206.00,158.00,51.00,60.00,7.90,21.00,4.00,,,,,$629.90
Net Income,335.86,108.66,"-4,061.83",-986.90,174.79,-667.56,"1,035.59",-227.89,-21.98,,,,"-$4,311.26"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Accrual Basis Monday, December 08, 2025 12:25 AM GMT-05:00",,,,,,,,,,,,,
