Id,Old Attachment Id,File Name,File Id,Size,Created Time,Modified Time,Created By.id,Modified By.id,Owner.id,Parent.id
sfy5ve709ad80566044a68a5c69ebea1c29a0_828604746-mms-826458676-1705861832820.jpeg,zcrm_5861855000006623002,828604746-mms-826458676-1705861832820.jpeg,sfy5ve709ad80566044a68a5c69ebea1c29a0,794797,2024-02-01 11:49:29,2024-02-01 11:49:29,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000005946026
sfy5v3552c96da33b4d2ea7b47cef47f9056c_MADELINE.JPG,zcrm_5861855000006623004,MADELINE.JPG,sfy5v3552c96da33b4d2ea7b47cef47f9056c,812574,2024-02-01 11:49:29,2024-02-01 11:49:29,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006623003
sfy5vc5b8957f27fd41b8aeab1e13ad755e7b_ALEX.JPG,zcrm_5861855000006623006,ALEX.JPG,sfy5vc5b8957f27fd41b8aeab1e13ad755e7b,683996,2024-02-01 11:49:29,2024-02-01 11:49:29,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006623005
tjwxa26210bff517442a4b2d7c93c8140acec_02032024_rJ 0_006.jpg,zcrm_5861855000006755927,02032024_rJ 0_006.jpg,tjwxa26210bff517442a4b2d7c93c8140acec,240700,2024-02-03 12:35:07,2024-02-03 12:35:07,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006756012
tjwxab12a75b2fa0e4df3a359c8ca51a6ca7b_02032024_rJ 0_008.jpg,zcrm_5861855000006755929,02032024_rJ 0_008.jpg,tjwxab12a75b2fa0e4df3a359c8ca51a6ca7b,228276,2024-02-03 12:35:07,2024-02-03 12:35:07,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006755928
"fzbn7f144aa998159439dae1f66a30101bcda_03042024_Republics BrdiqjariruUi. ae Venezuela Consejo Nacional Electoral Comision de Registro Civil Electoral Estado Bolivar, Municipio Caroni, Registro Civil Unare.jpg",zcrm_5861855000008493015,"03042024_Republics BrdiqjariruUi. ae Venezuela Consejo Nacional Electoral Comision de Registro Civil Electoral Estado Bolivar, Municipio Caroni, Registro Civil Unare.jpg",fzbn7f144aa998159439dae1f66a30101bcda,444837,2024-03-04 19:35:58,2024-03-04 19:35:58,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000008493014
"fzbn7c20f223b2f054513a8a19b2830675fa9_03042024_Republics BrdiqjariruUi. ae Venezuela Consejo Nacional Electoral Comision de Registro Civil Electoral Estado Bolivar, Municipio Caroni, Registro Civil Unare_001.jpg",zcrm_5861855000008493017,"03042024_Republics BrdiqjariruUi. ae Venezuela Consejo Nacional Electoral Comision de Registro Civil Electoral Estado Bolivar, Municipio Caroni, Registro Civil Unare_001.jpg",fzbn7c20f223b2f054513a8a19b2830675fa9,404473,2024-03-04 19:35:58,2024-03-04 19:35:58,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000008493016
